Unnamed: 0,id_x,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Emotion_Category
0,15970,Men,Apparel,Topwear,Shirts,Navy Blue,Rainy,2011.0,Casual,Turtle Check Men Navy Blue Shirt,Neutral
1,39386,Men,Apparel,Bottomwear,Jeans,Blue,Sunny,2012.0,Casual,Peter England Men Party Blue Jeans,Contentment
3,21379,Men,Apparel,Bottomwear,Track Pants,Black,Rainy,2011.0,Casual,Manchester United Men Solid Black Track Pants,Anger
4,53759,Men,Apparel,Topwear,Tshirts,Grey,Sunny,2012.0,Casual,Puma Men Grey T-shirt,Sadness
5,1855,Men,Apparel,Topwear,Tshirts,Grey,Sunny,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt,Sadness
6,30805,Men,Apparel,Topwear,Shirts,Green,Sunny,2012.0,Ethnic,Fabindia Men Striped Green Shirt,Contentment
7,26960,Women,Apparel,Topwear,Shirts,Purple,Sunny,2012.0,Casual,Jealous 21 Women Purple Shirt,Sadness
10,9204,Men,Footwear,Shoes,Casual Shoes,Black,Sunny,2011.0,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,Anger
12,18653,Men,Footwear,Flip Flops,Flip Flops,Black,Rainy,2011.0,Casual,Fila Men Cush Flex Black Slippers,Anger
14,46885,Men,Footwear,Flip Flops,Flip Flops,Navy Blue,Rainy,2012.0,Casual,Ben 10 Boys Navy Blue Slippers,Neutral
15,12369,Men,Apparel,Topwear,Shirts,Purple,Rainy,2011.0,Formal,Reid & Taylor Men Check Purple Shirts,Sadness
17,42419,Women,Apparel,Topwear,Tops,White,Sunny,2012.0,Casual,Gini and Jony Girls Knit White Top,Joy
21,12967,Men,Footwear,Sandal,Sandals,Black,Rainy,2011.0,Casual,ADIDAS Men Spry M Black Sandals,Anger
23,13089,Men,Apparel,Topwear,Sweatshirts,Grey,Rainy,2011.0,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Sadness
25,9036,Men,Footwear,Shoes,Formal Shoes,Black,Rainy,2011.0,Formal,Buckaroo Men Flores Black Formal Shoes,Anger
27,7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Rainy,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt,Neutral
30,37812,Men,Apparel,Topwear,Shirts,Navy Blue,Sunny,2012.0,Formal,John Players Men Navy Blue Shirt,Neutral
31,4729,Men,Apparel,Topwear,Tshirts,Green,Sunny,2011.0,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Contentment
32,56825,Men,Apparel,Topwear,Shirts,Brown,Sunny,2012.0,Casual,John Players Men Brown Shirt,Sadness
33,39988,Men,Footwear,Shoes,Casual Shoes,White,Rainy,2014.0,Casual,Gas Men Europa White Shoes,Joy
34,59051,Women,Footwear,Shoes,Flats,Black,Rainy,2012.0,Casual,Carlton London Women Black & Gold Toned Flats,Anger
39,3954,Women,Apparel,Topwear,Tshirts,Pink,Sunny,2011.0,Casual,Jealous 21 Women's Pink T-shirt,Joy
41,2886,Women,Footwear,Shoes,Flats,Brown,Rainy,2015.0,Casual,Catwalk Women Leather Brown Flats,Sadness
44,8580,Men,Apparel,Topwear,Waistcoat,Grey,Rainy,2011.0,Casual,Scullers Men  Grey Waistcoat,Sadness
45,3168,Men,Footwear,Shoes,Sports Shoes,White,Rainy,2010.0,Sports,Nike Men's Incinerate MSL White Blue Shoe,Joy
46,18005,Men,Apparel,Bottomwear,Shorts,Black,Sunny,2011.0,Sports,Puma Men Long Logo Black Bermuda,Anger
48,9452,Men,Apparel,Topwear,Shirts,Red,Rainy,2011.0,Formal,John Miller Men Stripes White Red Shirts,Joy
51,10268,Men,Footwear,Shoes,Formal Shoes,Black,Rainy,2012.0,Formal,Clarks Men Hang Work Leather Black Formal Shoes,Anger
54,59435,Men,Footwear,Shoes,Formal Shoes,Black,Sunny,2012.0,Formal,Arrow Men Black Formal Shoes,Anger
55,5891,Men,Apparel,Topwear,Tshirts,Black,Sunny,2011.0,Casual,Puma Men's Stripe Polo Black T-shirt,Anger
56,38630,Women,Apparel,Topwear,Tshirts,Purple,Sunny,2012.0,Casual,Nike Women Purple Polo T-shirt,Sadness
57,4943,Men,Apparel,Topwear,Shirts,White,Sunny,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,Joy
59,10866,Men,Apparel,Topwear,Tshirts,Red,Rainy,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts,Joy
61,15528,Men,Apparel,Topwear,Tshirts,Black,Rainy,2011.0,Casual,Puma Men Scribble Black Tshirts,Anger
64,22198,Men,Footwear,Shoes,Casual Shoes,Black,Rainy,2012.0,Casual,Timberland Men Black Casual Shoes,Anger
65,29570,Men,Footwear,Shoes,Casual Shoes,Purple,Sunny,2012.0,Casual,Vans Men Classic Slip-On Purple & Black Shoes,Sadness
67,6628,Men,Footwear,Shoes,Sports Shoes,White,Sunny,2011.0,Sports,ADIDAS Men's Lowell White Silver Shoe,Joy
68,54924,Men,Apparel,Bottomwear,Shorts,Blue,Sunny,2012.0,Casual,Do U Speak Green Men Blue Shorts,Contentment
69,26538,Men,Footwear,Shoes,Casual Shoes,Red,Rainy,2012.0,Casual,ID Men Red Shoes,Joy
71,49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Sunny,2012.0,Casual,Vans Men Khaki Shoes,Anger
72,9660,Men,Apparel,Topwear,Shirts,Pink,Rainy,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts,Joy
73,2288,Women,Apparel,Topwear,Tshirts,Black,Rainy,2010.0,Sports,Nike Women Black T-shirt,Anger
74,23876,Men,Apparel,Topwear,Sweatshirts,Blue,Rainy,2011.0,Casual,ADIDAS Men Blue Sweatshirt,Contentment
75,18237,Men,Apparel,Topwear,Tshirts,Red,Rainy,2011.0,Casual,Manchester United Men Solid Red Tshirt,Joy
76,54118,Women,Footwear,Shoes,Heels,Black,Rainy,2012.0,Casual,Rocia Women Black Flats,Anger
77,2872,Women,Footwear,Shoes,Heels,Brown,Rainy,2015.0,Casual,Catwalk Women Leather Flats,Sadness
78,49653,Women,Apparel,Topwear,Tops,Green,Sunny,2012.0,Casual,Mineral Women Green Top,Contentment
79,8574,Women,Footwear,Sandal,Sandals,Pink,Rainy,2011.0,Casual,Crocs Dora Boots Pink Sandals,Joy
81,19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Rainy,2011.0,Casual,Lotto Men XL Water Man Silver Slippers,Neutral
82,13419,Men,Apparel,Topwear,Tshirts,Pink,Sunny,2011.0,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,Joy
84,43369,Men,Footwear,Flip Flops,Flip Flops,Black,Sunny,2013.0,Casual,Reebok Men Black Possession Flip Flops,Anger
89,33822,Men,Footwear,Shoes,Sports Shoes,White,Sunny,2012.0,Sports,Puma Men Axis White & Grey Sports Shoes,Joy
90,58513,Women,Apparel,Topwear,Tops,Off White,Sunny,2012.0,Casual,Tonga Women Maroon Top,Neutral
93,5865,Men,Apparel,Topwear,Tshirts,Black,Sunny,2011.0,Casual,ADIDAS Men's Twelve Faster T-shirt,Anger
94,39716,Women,Apparel,Dress,Dresses,Blue,Sunny,2012.0,Casual,Arrow Woman Women Blue Dress,Contentment
96,11940,Men,Footwear,Sandal,Sandals,Black,Sunny,2011.0,Casual,Ganuchi Men Casual Black Sandals,Anger
98,29584,Men,Apparel,Topwear,Tshirts,Black,Sunny,2012.0,Casual,Indigo Nation Men Printed Black T-shirt,Anger
100,28456,Women,Apparel,Bottomwear,Skirts,Blue,Sunny,2012.0,Sports,Urban Yoga Women Blue Skirt With Leggings,Contentment
101,34009,Women,Apparel,Topwear,Tops,Black,Sunny,2012.0,Casual,Gini and Jony Girls Black Top,Anger
102,19311,Men,Footwear,Shoes,Casual Shoes,White,Rainy,2011.0,Casual,Nike Men Air Rift MTR White Casual Shoe,Joy
103,42089,Men,Footwear,Shoes,Sports Shoes,White,Sunny,2012.0,Sports,ADIDAS Men White Corona Sports Shoes,Joy
105,49461,Men,Footwear,Shoes,Casual Shoes,Blue,Sunny,2012.0,Casual,Vans Men Blue Era Scilla Plaid Shoes,Contentment
107,9694,Men,Apparel,Topwear,Tshirts,White,Rainy,2011.0,Casual,Classic Polo Men Vulcan White Polo Tshirts,Joy
108,23882,Men,Footwear,Shoes,Sports Shoes,Grey,Rainy,2011.0,Sports,Fila Men Destiny Grey Sports Shoes,Sadness
109,34835,Men,Footwear,Shoes,Sports Shoes,Blue,Sunny,2012.0,Sports,ADIDAS Men Blue Chill Sports Shoes,Contentment
110,15984,Men,Apparel,Topwear,Shirts,Yellow,Rainy,2011.0,Casual,Turtle Check Men Yellow Shirt,Joy
112,11518,Women,Footwear,Shoes,Heels,Grey,Rainy,2015.0,Casual,Catwalk Women Gun Metal Grey Heels,Sadness
114,33648,Men,Footwear,Sandal,Sandals,Brown,Sunny,2012.0,Casual,Lotto Men Ridge Brown Sandals,Sadness
115,59297,Men,Apparel,Topwear,Shirts,White,Rainy,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,Joy
117,27846,Women,Apparel,Topwear,Blazers,Charcoal,Sunny,2012.0,Formal,Scullers For Her Charcoal Blazer,Sadness
118,26994,Women,Apparel,Bottomwear,Jeans,Black,Sunny,2012.0,Casual,Jealous 21 Women Black Jeans,Anger
119,49839,Women,Footwear,Flip Flops,Flip Flops,Red,Rainy,2012.0,Casual,iPanema Women Red Flip Flops,Joy
121,2618,Women,Footwear,Shoes,Flats,Silver,Sunny,2010.0,Casual,Carlton London Women Silver Wedge Sandal,Neutral
124,8322,Men,Apparel,Topwear,Tshirts,Blue,Rainy,2011.0,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,Contentment
128,7158,Men,Apparel,Topwear,Shirts,Green,Rainy,2011.0,Casual,Scullers Men  Green Check Shirt,Contentment
129,18495,Men,Footwear,Sandal,Sandals,White,Rainy,2011.0,Casual,Puma Men Fashion Cat White Slipper,Joy
131,19547,Men,Apparel,Topwear,Sweatshirts,Blue,Rainy,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,Contentment
132,7964,Men,Apparel,Topwear,Tshirts,Black,Rainy,2011.0,Sports,Puma Men's Large Logo Graphic Black T-shirt,Anger
136,41866,Men,Footwear,Sandal,Sandals,Beige,Rainy,2015.0,Casual,Estd. 1977 Men Beige & Green Sandals,Contentment
138,44528,Men,Footwear,Sandal,Sandals,Black,Sunny,2012.0,Casual,Coolers Men Black Sandals,Anger
139,16392,Men,Apparel,Topwear,Shirts,Red,Rainy,2011.0,Casual,Levis Men Check Red Shirts,Joy
140,51455,Women,Apparel,Topwear,Shrug,Pink,Sunny,2012.0,Casual,Tonga Women Pink Printed Shrug,Joy
142,17240,Men,Apparel,Topwear,Tshirts,Black,Rainy,2011.0,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,Anger
143,47530,Women,Footwear,Shoes,Flats,Copper,Rainy,2012.0,Casual,Portia Women Copper-Toned & Brown Sandals,Anger
144,6617,Men,Apparel,Topwear,Shirts,Black,Sunny,2011.0,Casual,Spykar Men Black and white Check Shirt,Anger
146,3365,Men,Apparel,Topwear,Tshirts,Black,Sunny,2011.0,Casual,Myntra Men's Brain Black T-shirt,Anger
147,42042,Men,Footwear,Shoes,Sports Shoes,White,Sunny,2012.0,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,Joy
148,23849,Men,Footwear,Shoes,Casual Shoes,Black,Rainy,2011.0,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,Anger
153,54127,Women,Footwear,Shoes,Heels,Black,Rainy,2012.0,Casual,Rocia Women Black Heels,Anger
154,10065,Men,Apparel,Topwear,Tshirts,Yellow,Rainy,2011.0,Casual,Puma Men ducati logo tee Yellow Tshirts,Joy
155,24250,Men,Footwear,Shoes,Casual Shoes,White,Rainy,2012.0,Casual,Numero Uno Men White Casual Shoes,Joy
159,5092,Men,Apparel,Topwear,Tshirts,Purple,Sunny,2011.0,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,Sadness
160,10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Rainy,2011.0,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,Neutral
162,15517,Men,Footwear,Shoes,Casual Shoes,Red,Rainy,2011.0,Casual,Rockport Men LLandro Red Casual Shoes,Joy
163,4140,Women,Footwear,Shoes,Casual Shoes,Green,Rainy,2015.0,Casual,Skechers Women Green Shoe,Contentment
166,10257,Men,Apparel,Bottomwear,Trousers,Black,Rainy,2011.0,Formal,John Miller Men Solid Type Black Trousers,Anger
167,24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Sunny,2012.0,Casual,Locomotive Men Navy Blue Printed T-shirt,Neutral
169,11385,Women,Apparel,Topwear,Sweatshirts,Black,Rainy,2011.0,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,Anger
170,53130,Women,Footwear,Shoes,Flats,Brown,Rainy,2015.0,Casual,Catwalk Women Brown Sandals,Sadness
174,22395,Men,Apparel,Topwear,Shirts,Blue,Rainy,2011.0,Casual,Mark Taylor Men Striped Blue Shirt,Contentment
178,23247,Men,Footwear,Shoes,Formal Shoes,Black,Rainy,2011.0,Formal,Arrow Men Formal Black Shoe,Anger
180,31782,Women,Apparel,Topwear,Tops,Blue,Sunny,2012.0,Casual,Lee Women Paula Blue Top,Contentment
182,12500,Men,Apparel,Topwear,Shirts,Black,Rainy,2011.0,Casual,United Colors of Benetton Men Short Black Shirts,Anger
184,30650,Men,Apparel,Topwear,Tshirts,Black,Sunny,2012.0,Casual,Nike Men Printed Black T-shirt,Anger
187,32563,Women,Apparel,Bottomwear,Trousers,Blue,Sunny,2012.0,Casual,ONLY Women directoire blue Trousers,Contentment
189,40143,Women,Apparel,Topwear,Tops,Blue,Sunny,2012.0,Casual,Gini and Jony Girls Pretty Blossom Blue Top,Contentment
190,10633,Men,Footwear,Shoes,Formal Shoes,Brown,Rainy,2011.0,Formal,Carlton London Men Formal Brown Formal Shoes,Sadness
193,21174,Women,Apparel,Topwear,Tops,Beige,Rainy,2011.0,Casual,s.Oliver Women Stripes Beige Top,Contentment
194,15341,Women,Apparel,Bottomwear,Shorts,Pink,Rainy,2011.0,Sports,Nike Women Solid Pink Shorts,Joy
197,14293,Men,Apparel,Topwear,Tshirts,Blue,Rainy,2011.0,Casual,Classic Polo Men Stripes Blue Tshirts,Contentment
199,6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Sunny,2011.0,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,Neutral
200,23623,Women,Apparel,Topwear,Tops,Pink,Rainy,2011.0,Casual,Doodle Kids Girls Pink I love Shopping Top,Joy
201,17416,Men,Footwear,Shoes,Sports Shoes,Black,Rainy,2011.0,Sports,Lotto Men Atlantica Black Sports Shoe,Anger
202,9835,Women,Apparel,Topwear,Tshirts,Grey,Rainy,2011.0,Casual,Little Miss Women Printed Grey T-shirt,Sadness
204,7193,Women,Apparel,Bottomwear,Jeans,Black,Rainy,2011.0,Casual,Jealous 21 Women Black Jegging,Anger
205,12958,Men,Footwear,Shoes,Sports Shoes,Black,Rainy,2011.0,Sports,ADIDAS Men Sports Black Sports Shoes,Anger
207,30234,Men,Footwear,Flip Flops,Flip Flops,Black,Sunny,2012.0,Casual,Numero Uno Men Black Flip Flops,Anger
209,3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Sunny,2011.0,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,Neutral
213,17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Rainy,2011.0,Sports,ADIDAS Men Solid Navy Blue Track Pant,Neutral
214,47154,Women,Apparel,Bottomwear,Capris,Black,Sunny,2012.0,Casual,Gini and Jony Girls Black Capris,Anger
215,35574,Men,Footwear,Flip Flops,Flip Flops,Red,Sunny,2013.0,Casual,Gliders Men Esquire Red Flip Flops,Joy
216,46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Sunny,2012.0,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,Contentment
218,13284,Men,Apparel,Bottomwear,Shorts,Black,Rainy,2011.0,Casual,Gini and Jony Kids Boys Solid Black Shorts,Anger
219,54543,Men,Footwear,Shoes,Sports Shoes,White,Rainy,2012.0,Casual,F Sports Men White Outlander Sports Shoes,Joy
221,26163,Men,Apparel,Bottomwear,Trousers,Grey,Sunny,2012.0,Formal,John Miller Men Dark Grey Trousers,Sadness
222,3701,Women,Apparel,Topwear,Tshirts,Black,Sunny,2011.0,Casual,Tantra Women Flower Heart Black Long T-shirt,Anger
225,32751,Men,Footwear,Shoes,Casual Shoes,Black,Sunny,2012.0,Casual,FILA Men Liga II Black Shoes,Anger
227,10401,Women,Apparel,Topwear,Tops,Purple,Rainy,2011.0,Casual,Jealous 21 Women Uaine Purple Tops,Sadness
228,40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Sunny,2012.0,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,Neutral
230,45603,Men,Footwear,Shoes,Formal Shoes,Black,Sunny,2012.0,Formal,Arrow Men Black Formal Shoes,Anger
231,4524,Men,Footwear,Shoes,Sports Shoes,Black,Sunny,2011.0,Sports,Puma Men's YugoRun Black White Shoe,Anger
232,37223,Women,Apparel,Topwear,Tops,Blue,Sunny,2012.0,Casual,United Colors of Benetton Women Blue Top,Contentment
233,53766,Men,Apparel,Topwear,Tshirts,White,Sunny,2012.0,Casual,Puma Men White and Navy Blue T-shirt,Joy
234,25520,Women,Apparel,Topwear,Tops,White,Rainy,2011.0,Casual,Doodle Kids Girls City Chic White Top,Joy
235,32597,Women,Apparel,Topwear,Tops,Black,Sunny,2012.0,Casual,ONLY Women Black Top,Anger
